Standings,FINAL,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
35,Washington,Missouri,Texas Tech,Ole Miss,Ohio State,UNLV,Illinois,Georgia,San Diego State,Notre Dame,Utah,Tulane,South Florida,Illinois,Memphis,Iowa State,UNLV
36,Old Dominion,Ohio,Texas A&M,Arizona State,Miami,South Florida,Tulane,Cincinnati,NC State,TCU,Hawai'i,Navy,Iowa,Western Kentucky,Arizona,Tennessee,Duke
37,Wake Forest,Marshall,TCU,Louisville,Memphis,Arizona State,Fresno State,Hawai'i,California,Michigan,Texas,USC,Boise State,Southern Miss,Cincinnati,Illinois,Wake Forest
38,Iowa,Duke,Missouri,Illinois,Minnesota,Baylor,Virginia,TCU,Mississippi State,Arizona State,Navy,Arizona State,Missouri,Hawai'i,Missouri,UNLV,Iowa
39,Missouri,Florida,Ohio,Iowa,Western Kentucky,TCU,Utah,Kansas,Louisville,Hawai'i,Boise State,Western Kentucky,Tennessee,Washington,UConn,Western Kentucky,Missouri
40,Duke,Washington State,Marshall,Memphis,USC,Toledo,Penn State,South Carolina,South Florida,Pittsburgh,Tennessee,Illinois,Duke,California,East Carolina,Old Dominion,Old Dominion
41,Tennessee,Minnesota,Duke,Texas Tech,Texas State,Louisiana Tech,Ohio State,UNLV,Old Dominion,Kansas,Minnesota,Troy,Minnesota,Wake Forest,Iowa State,Memphis,Toledo
42,Clemson,Navy,Florida,Missouri,Washington,Florida State,Navy,Baylor,Arizona,Louisville,San Diego State,James Madison,Tulane,UConn,Tennessee,Nebraska,UConn
43,Toledo,Michigan,Washington State,Duke,Kansas,Southern Miss,Texas State,Iowa,Houston,Texas,UNLV,SMU,Navy,Iowa,TCU,Cincinnati,Navy
44,UConn,Miami (OH),Minnesota,Florida,NC State,SMU,Washington,Auburn,Baylor,SMU,LSU,Iowa State,Southern Miss,Arizona,Navy,Iowa,Boise State
45,Navy,Georgia Southern,Navy,Navy,North Texas,BYU,Arizona,San Diego State,LSU,James Madison,Iowa,Hawai'i,Iowa State,Boise State,Southern Miss,Missouri,Tennessee
46,Boise State,Pittsburgh,Michigan,Pittsburgh,Wisconsin,Tennessee,Louisiana Tech,Florida State,Maryland,California,California,Minnesota,NC State,Tennessee,Old Dominion,Duke,NC State
47,NC State,Sam Houston,Miami (OH),Liberty,Wyoming,South Carolina,Rice,Minnesota,James Madison,Baylor,Northwestern,Northwestern,Old Dominion,Missouri,UNLV,Toledo,New Mexico
48,New Mexico,Liberty,Georgia Southern,James Madison,Temple,Louisville,Texas,Toledo,Notre Dame,Iowa,Duke,UNLV,Baylor,Kennesaw State,California,Kennesaw State,Kennesaw State
49,Kennesaw State,James Madison,Pittsburgh,Rutgers,Purdue,Minnesota,Syracuse,Nebraska,Fresno State,Old Dominion,Western Kentucky,LSU,UConn,UNLV,Hawai'i,Boise State,Clemson
50,Memphis,Rutgers,Sam Houston,Boston College,Washington State,Michigan,Western Kentucky,NC State,Louisiana Tech,Mississippi State,Southern Miss,California,New Mexico,Duke,Missouri State,Clemson,Western Kentucky
51,Western Kentucky,Boston College,Liberty,USC,Rutgers,Pittsburgh,Michigan State,Fresno State,UConn,NC State,Troy,Duke,Arizona,East Carolina,Jacksonville State,New Mexico,East Carolina
52,East Carolina,Georgia Tech,James Madison,Oklahoma,Hawai'i,East Carolina,UCF,South Florida,Hawai'i,Boise State,UConn,Wake Forest,Hawai'i,Old Dominion,Iowa,Southern Miss,Hawai'i
53,California,Jacksonville State,Rutgers,Bowling Green,New Mexico State,West Virginia,Utah State,Southern Miss,South Carolina,Arizona,Kansas,Old Dominion,Troy,Minnesota,Kennesaw State,Navy,Troy
54,Hawai'i,Western Kentucky,Boston College,Texas State,App State,Kansas,Rutgers,Penn State,SMU,Maryland,Baylor,Kansas State,UNLV,Navy,Boise State,East Carolina,Memphis
55,Troy,Buffalo,Georgia Tech,UConn,UCF,Arkansas,Hawai'i,Boise State,Auburn,Northwestern,NC State,UConn,Kennesaw State,NC State,Clemson,NC State,Nebraska
56,Nebraska,USC,Jacksonville State,West Virginia,Wake Forest,Cincinnati,Delaware,Ohio,Florida State,Wake Forest,Arizona,Central Michigan,Kansas,Coastal Carolina,Toledo,Hawai'i,California
57,Cincinnati,Virginia Tech,Buffalo,Vanderbilt,Baylor,Fresno State,Duke,James Madison,Iowa,Southern Miss,Mississippi State,Baylor,Mississippi State,Baylor,New Mexico,LSU,Ohio
58,Ohio,Northern Illinois,USC,Arkansas,Toledo,Virginia,San Diego State,East Carolina,Pittsburgh,Minnesota,Toledo,Ohio,LSU,Jacksonville State,Fresno State,California,Cincinnati
59,Jacksonville State,Toledo,Virginia Tech,South Alabama,Army,Old Dominion,Baylor,Texas State,Toledo,Fresno State,East Carolina,Miami (OH),East Carolina,New Mexico,Duke,Central Michigan,Jacksonville State
60,Western Michigan,Colorado State,Northern Illinois,North Texas,Cincinnati,Rice,Alabama,Washington,Minnesota,Louisiana Tech,Coastal Carolina,New Mexico,Northwestern,Missouri State,Minnesota,Missouri State,Western Michigan
61,Southern Miss,East Carolina,Toledo,Arkansas State,Clemson,Utah State,Colorado,Old Dominion,East Carolina,Troy,Old Dominion,Temple,California,Kansas,NC State,Jacksonville State,Southern Miss
62,LSU,Oklahoma,Colorado State,App State,Colorado,Texas,South Carolina,UCF,Texas State,Western Michigan,Maryland,Kennesaw State,Coastal Carolina,Ohio,LSU,UTSA,Fresno State
63,Fresno State,Bowling Green,East Carolina,Air Force,TCU,Iowa,Ohio,Arizona,Wake Forest,UConn,Louisiana Tech,Kansas,Fresno State,Troy,Florida State,Troy,LSU
64,Minnesota,Texas State,Oklahoma,UCF,Ohio,Western Kentucky,Minnesota,Texas,Rice,Clemson,Marshall,NC State,Wake Forest,Mississippi State,Baylor,Ohio,Minnesota
65,Miami (OH),UConn,Bowling Green,Houston,Fresno State,Buffalo,James Madison,Washington State,Penn State,Florida State,UCF,Auburn,Florida State,LSU,Coastal Carolina,Western Michigan,Penn State
