Week,Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
3,Georgia Tech,FCS,WIN,47,Home,4,2,0,0,6
3,Colorado,Delaware,WIN,24,Home,4,2,0,0,6
3,Texas State,UTSA,WIN,7,Road,4,2,0,0,6
3,Navy,UAB,WIN,14,Home,4,2,0,0,6
3,North Texas,Western Michigan,WIN,3,Road,4,2,0,0,6
3,Buffalo,FCS,WIN,39,Home,4,2,0,0,6
3,Wisconsin,Middle Tennessee,WIN,32,Home,4,2,0,0,6
3,Ohio,West Virginia,WIN,7,Home,4,0,1,1,6
3,Wyoming,FCS,WIN,24,Home,4,2,0,0,6
3,Wake Forest,FCS,WIN,32,Home,4,2,0,0,6
3,Rutgers,Miami (OH),WIN,28,Home,4,2,0,0,6
3,Southern Miss,FCS,WIN,18,Home,4,2,0,0,6
3,California,FCS,WIN,32,Home,4,2,0,0,6
3,Missouri State,Marshall,WIN,1,Road,4,2,0,0,6
3,Old Dominion,FCS,WIN,48,Home,4,2,0,0,6
3,East Carolina,FCS,WIN,53,Home,4,2,0,0,6
3,Florida Atlantic,FCS,WIN,42,Home,4,2,0,0,6
3,North Carolina,Charlotte,WIN,17,Road,4,2,0,0,6
3,UCF,FCS,WIN,61,Home,4,2,0,0,6
3,Memphis,Georgia State,WIN,22,Road,4,2,0,0,6
3,Auburn,Ball State,WIN,39,Home,4,2,0,0,6
3,Nebraska,Akron,WIN,68,Home,4,2,0,0,6
3,USC,Georgia Southern,WIN,39,Home,4,2,0,0,6
3,Michigan State,Boston College,WIN,2,Home,4,0,1,1,6
3,Purdue,FCS,WIN,17,Home,4,2,0,0,6
3,Coastal Carolina,FCS,WIN,13,Home,4,2,0,0,6
3,Louisiana,FCS,WIN,24,Home,4,2,0,0,6
3,UTEP,FCS,WIN,25,Home,4,2,0,0,6
3,Arizona,FCS,WIN,45,Home,4,2,0,0,6
3,Washington State,San Diego State,WIN,23,Home,4,2,0,0,6
3,Washington,FCS,WIN,60,Home,4,2,0,0,6
3,Hawai'i,Sam Houston,WIN,17,Home,4,2,0,0,6
3,Jacksonville State,Liberty,WIN,10,Home,4,0,1,0,5
3,UNLV,UCLA,WIN,7,Home,4,0,0,1,5
3,Syracuse,FCS,WIN,7,Home,4,0,0,0,4
3,New Mexico,FCS,WIN,10,Home,4,0,0,0,4
3,App State,FCS,WIN,7,Home,4,0,0,0,4
3,Nevada,FCS,WIN,3,Home,4,0,0,0,4
3,Colorado State,FCS,WIN,4,Home,4,0,0,0,4
3,New Mexico State,Tulsa,WIN,7,Home,4,0,0,0,4
3,James Madison,Louisville,LOSS,14,Road,0,0,0,0,0
3,Northern Illinois,Maryland,LOSS,11,Road,0,0,0,0,0
3,Florida International,Penn State,LOSS,34,Road,0,0,0,0,0
3,Louisiana Tech,LSU,LOSS,16,Road,0,0,0,0,0
3,Oklahoma State,Oregon,LOSS,66,Road,0,0,0,0,0
3,San José State,Texas,LOSS,31,Road,0,0,0,0,0
3,Troy,Clemson,LOSS,11,Road,0,0,0,0,0
3,Duke,Illinois,LOSS,26,Home,0,0,0,0,0
3,Arizona State,Mississippi State,LOSS,4,Road,0,0,0,0,0
3,Florida,South Florida,LOSS,2,Home,0,0,0,0,0
3,Michigan,Oklahoma,LOSS,11,Road,0,0,0,0,0
3,Iowa,Iowa State,LOSS,3,Road,0,0,0,0,0
3,SMU,Baylor,LOSS,3,Home,0,0,0,0,0
3,Utah State,Texas A&M,LOSS,22,Road,0,0,0,0,0
