Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
Western Michigan,Ohio,WIN,4,Home,4,0,1,0,5
LSU,Arkansas,WIN,1,Home,4,0,0,1,5
Florida International,Liberty,WIN,7,Home,4,0,1,0,5
Sam Houston,Delaware,WIN,3,Home,4,0,1,0,5
UNLV,Utah State,WIN,3,Home,4,0,1,0,5
UConn,Air Force,WIN,10,Home,4,0,0,0,4
New Mexico,Colorado State,WIN,3,Home,4,0,0,0,4
Akron,Kent State,LOSS,7,Home,0,0,0,0,0
Ohio,Western Michigan,LOSS,4,Road,0,0,0,0,0
Buffalo,Central Michigan,LOSS,19,Road,0,0,0,0,0
Massachusetts,Northern Illinois,LOSS,42,Home,0,0,0,0,0
Miami (OH),Toledo,LOSS,21,Home,0,0,0,0,0
Troy,Old Dominion,LOSS,33,Road,0,0,0,0,0
Minnesota,Oregon,LOSS,29,Road,0,0,0,0,0
Louisville,Clemson,LOSS,1,Home,0,0,0,0,0
UCLA,Ohio State,LOSS,38,Road,0,0,0,0,0
Wisconsin,Indiana,LOSS,24,Road,0,0,0,0,0
South Carolina,Texas A&M,LOSS,1,Road,0,0,0,0,0
Alabama,Oklahoma,LOSS,2,Home,0,0,0,0,0
Texas,Georgia,LOSS,25,Road,0,0,0,0,0
UCF,Texas Tech,LOSS,39,Road,0,0,0,0,0
Florida,Ole Miss,LOSS,10,Road,0,0,0,0,0
Pittsburgh,Notre Dame,LOSS,22,Home,0,0,0,0,0
TCU,BYU,LOSS,31,Road,0,0,0,0,0
Baylor,Utah,LOSS,27,Home,0,0,0,0,0
NC State,Miami,LOSS,34,Road,0,0,0,0,0
Boston College,Georgia Tech,LOSS,2,Home,0,0,0,0,0
Iowa,USC,LOSS,5,Road,0,0,0,0,0
Northwestern,Michigan,LOSS,2,Home,0,0,0,0,0
Duke,Virginia,LOSS,17,Home,0,0,0,0,0
New Mexico State,Tennessee,LOSS,33,Road,0,0,0,0,0
South Florida,Navy,LOSS,3,Road,0,0,0,0,0
Cincinnati,Arizona,LOSS,6,Home,0,0,0,0,0
Oklahoma State,Kansas State,LOSS,8,Home,0,0,0,0,0
Air Force,UConn,LOSS,10,Road,0,0,0,0,0
Charlotte,UTSA,LOSS,21,Home,0,0,0,0,0
Ball State,Eastern Michigan,LOSS,15,Home,0,0,0,0,0
Arkansas,LSU,LOSS,1,Road,0,0,0,0,0
Oregon State,Tulsa,LOSS,17,Road,0,0,0,0,0
West Virginia,Arizona State,LOSS,2,Road,0,0,0,0,0
Georgia State,Marshall,LOSS,12,Home,0,0,0,0,0
UAB,North Texas,LOSS,29,Home,0,0,0,0,0
UTEP,Missouri State,LOSS,14,Road,0,0,0,0,0
Colorado State,New Mexico,LOSS,3,Road,0,0,0,0,0
Michigan State,Penn State,LOSS,18,Home,0,0,0,0,0
Maryland,Illinois,LOSS,18,Road,0,0,0,0,0
Middle Tennessee,Western Kentucky,LOSS,16,Road,0,0,0,0,0
San José State,Nevada,LOSS,45,Road,0,0,0,0,0
App State,James Madison,LOSS,48,Road,0,0,0,0,0
UL Monroe,South Alabama,LOSS,12,Home,0,0,0,0,0
Southern Miss,Texas State,LOSS,27,Home,0,0,0,0,0
Memphis,East Carolina,LOSS,4,Road,0,0,0,0,0
Florida Atlantic,Tulane,LOSS,11,Road,0,0,0,0,0
North Carolina,Wake Forest,LOSS,16,Road,0,0,0,0,0
Liberty,Florida International,LOSS,7,Road,0,0,0,0,0
Coastal Carolina,Georgia Southern,LOSS,5,Road,0,0,0,0,0
Purdue,Washington,LOSS,36,Road,0,0,0,0,0
Delaware,Sam Houston,LOSS,3,Road,0,0,0,0,0
Utah State,UNLV,LOSS,3,Road,0,0,0,0,0
Virginia Tech,Florida State,LOSS,20,Road,0,0,0,0,0
Mississippi State,Missouri,LOSS,22,Road,0,0,0,0,0
Kennesaw State,Jacksonville State,LOSS,9,Road,0,0,0,0,0
Louisiana Tech,Washington State,LOSS,25,Road,0,0,0,0,0
Boise State,San Diego State,LOSS,10,Road,0,0,0,0,0
Wyoming,Fresno State,LOSS,21,Road,0,0,0,0,0
